word,count
salvini,591
lega,461
governo,391
italiani,377
italia,333
lavoro,267
oggi,254
grazie,248
amici,209
dell,179
anni,176
vita,171
paese,165
diretta,153
roma,150
conte,147
milioni,146
sempre,143
prima,139
salute,139
tutta,136
solo,136
referendumgiustizia,130
sicurezza,124
presidente,122
buon,120
bene,120
dopo,119
senato,117
senza,116
fatto,116
pd,115
fare,115
libertà,115
ora,113
grande,112
può,112
centrodestra,112
buona,108
già,106
essere,106
ministro,102
draghi,102
all,101
casa,97
famiglie,95
no,95
altri,95
mai,94
due,94
tempo,91
parte,90
cittadini,89
fa,89
stato,89
vaccini,89
tasse,89
qui,88
gazebo,88
aver,88
mesi,86
ancora,84
mondo,84
parlamento,84
giustizia,81
solidarietà,81
abbraccio,80
avanti,79
ogni,78
fino,77
milano,77
persone,76
donne,75
scuola,73
buonsenso,72
domani,72
imprese,72
firme,71
italiano,71
tutte,70
europa,70
giorno,69
sindaco,69
poi,69
natale,69
mentre,68
piano,67
covid,66
parole,66
cosa,66
anno,65
legge,65
me,64
sinistra,64
rispetto,63
calabria,63
va,62
giorni,62
così,62
vociitaliane,62
diritto,61
poco,61
aspetto,61
meno,61
insieme,60
sì,60
arcuri,60
altro,59
firmare,59
tanti,59
litalia,59
un,57
forza,56
paesi,56
futuro,55
cè,55
uomini,55
spero,55
serve,54
intervento,53
rai,53
camera,53
città,53
situazione,53
euro,53
portaaporta,53
cartelle,52
vuole,51
nazionale,51
momento,50
lavoratori,50
famiglia,50
priorità,49
verso,48
testa,48
almeno,48
preghiera,48
sostegno,48
processo,48
persona,48
migliaia,48
maggioranza,48
settimana,47
ragazzi,47
italiane,47
sotto,47
iva,47
regione,46
lombardia,46
primo,46
cuore,46
regioni,46
ieri,45
ritorno,45
attività,45
vaccinale,45
papà,44
italiana,44
tre,44
basta,44
sera,44
pensiero,43
via,43
viva,43
battaglia,43
comuni,43
dice,43
tornare,43
riaperture,43
scuole,43
rischio,43
problemi,43
fine,42
andare,42
qualcuno,42
quartarepubblica,42
pace,42
sbarchi,42
avere,42
ps,41
nuovo,41
fiscale,41
incontro,41
soldi,41
letta,40
luglio,40
buongiorno,40
figli,40
politica,40
quando,40
alta,40
auguri,40
democrazia,40
qualche,40
invece,40
primalitalia,40
far,40
forze,40
raccolta,39
dare,39
domenica,39
giornata,39
centro,39
difficoltà,39
medici,39
esattoriali,39
catania,39
mamma,38
deve,38
riforma,38
miliardi,38
rete,37
mattina,37
speranza,37
sorriso,37
taglio,37
bimbi,37
ue,37
partito,37
fiducia,36
bella,36
de,36
soli,36
squadra,36
impegno,36
difesa,36
molto,36
aiutare,36
europei,36
confini,36
nocoprifuoco,36
fuoridalcoro,36
oltre,35
san,35
complimenti,35
secondo,35
possibile,35
violenza,34
dati,34
molti,34
po,34
grandi,34
chiesto,34
finalmente,34
stati,34
sindaci,34
dovere,34
tribunale,34
chiede,34
sabato,33
nuove,33
ministri,33
state,33
viene,33
comunità,33
esempio,33
mettere,33
dall,33
pronti,33
palermo,33
skytg24,33
lavorare,33
decreti,33
poltrone,33
aiuto,32
polizia,32
popolo,32
piazza,32
proposta,32
paolo,32
disabilità,32
decretoclandestini,32
nuova,31
parola,31
davvero,31
decreto,31
disabili,31
bisogno,31
notte,31
repubblica,31
cartabianca,31
troppo,30
serata,30
clandestini,30
ore,30
piazze,30
paura,30
proprio,30
elezioni,30
aprile,30
fuori,30
commercianti,30
azzolina,30
orgoglio,29
proposte,29
divisa,29
memoria,29
entro,29
fatti,29
associazioni,29
notizia,29
imprenditori,29
fra,29
nome,28
splendida,28
vivere,28
niente,28
meglio,28
vaccino,28
francia,28
morti,28
caso,28
possono,28
sanitaria,28
mano,28
virus,28
commissario,28
voto,28
penso,27
storia,27
10,27
male,27
passo,27
ministero,27
vera,27
altre,27
tanto,27
turismo,27
uomo,27
visto,27
israele,27
nulla,26
mezzo,26
cari,26
nessuno,26
20,26
pena,26
burocrazia,26
studenti,26
subito,26
dire,26
onore,26
fronte,26
controllo,26
chiusure,26
presto,26
vanno,26
partire,26
crisidigoverno,26
lariadidomenica,26
gente,25
bambini,25
bisogna,25
coraggio,25
ricordo,25
capitale,25
immigrati,25
luca,25
richiesta,25
lotta,25
comune,25
litigi,25
coprifuoco,25
ordine,25
emergenza,25
stelle,25
partite,25
piccolo,25
difendere,25
idee,25
dovrebbe,25
ritardi,25
18,24
vicinanza,24
insegnanti,24
soprattutto,24
aziende,24
saluto,24
15,24
diritti,24
unico,24
riaprire,24
posti,24
amico,24
punto,24
matteo,24
crisi,24
cose,24
venga,24
gennaio,24
affetto,24
generale,24
senatori,24
httpstcojqr12goqkb,23
voglia,23
gioia,23
bocca,23
consiglio,23
ragione,23
te,23
germania,23
zona,23
forte,23
orgoglioso,23
detto,23
parla,23
cantieri,23
pensa,23
bar,23
politici,23
ripartenza,23
stop,23
50,23
dato,23
sviluppo,23
stesso,23
riapertura,23
vista,23
verità,23
tg2post,23
pagare,23
porti,23
vogliono,23
possa,23
lariachetira,23
nonstopnews,23
pomeriggio,22
sport,22
referendum,22
carcere,22
fondo,22
condizioni,22
devono,22
vergogna,22
parlare,22
tante,22
aula,22
realtà,22
volontariato,22
temi,22
ristoranti,22
settore,22
staseraitalia,22
mascherine,22
difeso,22
governatori,22
economica,22
purtroppo,21
pandemia,21
posto,21
senso,21
responsabilità,21
aspettiamo,21
portare,21
terapie,21
straordinario,21
meritano,21
partita,21
pronto,21
dobbiamo,21
patrimoniale,21
fondi,21
piccoli,21
sanità,21
stata,21
mezzorainpiù,21
renzi,21
perdere,20
portato,20
né,20
mario,20
mese,20
stare,20
numero,20
parlamentari,20
30,20
confronto,20
tutela,20
tema,20
follia,20
cambio,20
cancellare,20
chiedono,20
servono,20
artigiani,20
aperto,20
sud,20
gesto,20
prossimi,20
idea,20
chiuso,20
europea,20
errori,20
sequestro,20
problema,20
votare,20
banchi,20
rotelle,20
marzo,20
morra,20
live,19
conto,19
dellitalia,19
massimo,19
torna,19
vittoria,19
servizio,19
fianco,19
minacce,19
marino,19
centinaia,19
politiche,19
pare,19
volte,19
fondamentale,19
genitori,19
100,19
liberi,19
giusta,19
lunedì,19
